Index,Date,Hour,Temperature(°C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(°C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Seasons,Holiday,Functioning Day,Rented Bike Count
0,01/12/2017,0,-5.2,37,2.2,2000,-17.6,0.0,0.0,0.0,Winter,No Holiday,Yes,254
1,01/12/2017,1,-5.5,38,0.8,2000,-17.6,0.0,0.0,0.0,Winter,No Holiday,Yes,204
2,01/12/2017,2,-6.0,39,1.0,2000,-17.7,0.0,0.0,0.0,Winter,No Holiday,Yes,173
3,01/12/2017,3,-6.2,40,0.9,2000,-17.6,0.0,0.0,0.0,Winter,No Holiday,Yes,107
4,01/12/2017,4,-6.0,36,2.3,2000,-18.6,0.0,0.0,0.0,Winter,No Holiday,Yes,78
5,01/12/2017,5,-6.4,37,1.5,2000,-18.7,0.0,0.0,0.0,Winter,No Holiday,Yes,100
6,01/12/2017,6,-6.6,35,1.3,2000,-19.5,0.0,0.0,0.0,Winter,No Holiday,Yes,181
7,01/12/2017,7,-7.4,38,0.9,2000,-19.3,0.0,0.0,0.0,Winter,No Holiday,Yes,460
8,01/12/2017,8,-7.6,37,1.1,2000,-19.8,0.01,0.0,0.0,Winter,No Holiday,Yes,930
9,01/12/2017,9,-6.5,27,0.5,1928,-22.4,0.23,0.0,0.0,Winter,No Holiday,Yes,490
10,01/12/2017,10,-3.5,24,1.2,1996,-21.2,0.65,0.0,0.0,Winter,No Holiday,Yes,339
11,01/12/2017,11,-0.5,21,1.3,1936,-20.2,0.94,0.0,0.0,Winter,No Holiday,Yes,360
12,01/12/2017,12,1.7,23,1.4,2000,-17.2,1.11,0.0,0.0,Winter,No Holiday,Yes,449
13,01/12/2017,13,2.4,25,1.6,2000,-15.6,1.16,0.0,0.0,Winter,No Holiday,Yes,451
14,01/12/2017,14,3.0,26,2.0,2000,-14.6,1.01,0.0,0.0,Winter,No Holiday,Yes,447
15,01/12/2017,15,2.1,36,3.2,2000,-11.4,0.54,0.0,0.0,Winter,No Holiday,Yes,463
16,01/12/2017,16,1.2,54,4.2,793,-7.0,0.24,0.0,0.0,Winter,No Holiday,Yes,484
17,01/12/2017,17,0.8,58,1.6,2000,-6.5,0.08,0.0,0.0,Winter,No Holiday,Yes,555
18,01/12/2017,18,0.6,66,1.4,2000,-5.0,0.0,0.0,0.0,Winter,No Holiday,Yes,862
19,01/12/2017,19,0.0,77,1.7,2000,-3.5,0.0,0.0,0.0,Winter,No Holiday,Yes,600
20,01/12/2017,20,-0.3,79,1.5,1913,-3.5,0.0,0.0,0.0,Winter,No Holiday,Yes,426
21,01/12/2017,21,-0.8,81,0.8,1687,-3.6,0.0,0.0,0.0,Winter,No Holiday,Yes,405
22,01/12/2017,22,-0.9,83,1.5,1380,-3.4,0.0,0.0,0.0,Winter,No Holiday,Yes,398
23,01/12/2017,23,-1.3,84,1.0,1265,-3.6,0.0,0.0,0.0,Winter,No Holiday,Yes,323
24,02/12/2017,0,-1.8,87,1.1,994,-3.6,0.0,0.0,0.0,Winter,No Holiday,Yes,328
25,02/12/2017,1,-2.2,86,0.6,990,-4.2,0.0,0.0,0.0,Winter,No Holiday,Yes,308
26,02/12/2017,2,-2.9,86,1.5,1256,-4.9,0.0,0.0,0.0,Winter,No Holiday,Yes,262
27,02/12/2017,3,-3.5,81,2.2,1221,-6.2,0.0,0.0,0.0,Winter,No Holiday,Yes,167
28,02/12/2017,4,-3.8,79,2.0,1167,-6.9,0.0,0.0,0.0,Winter,No Holiday,Yes,89
29,02/12/2017,5,-4.0,79,1.5,1202,-7.1,0.0,0.0,0.0,Winter,No Holiday,Yes,79
30,02/12/2017,6,-4.3,82,2.1,1178,-6.9,0.0,0.0,0.0,Winter,No Holiday,Yes,70
31,02/12/2017,7,-4.4,81,2.5,1276,-7.1,0.0,0.0,0.0,Winter,No Holiday,Yes,146
32,02/12/2017,8,-4.2,79,2.1,1436,-7.3,0.01,0.0,0.0,Winter,No Holiday,Yes,219
33,02/12/2017,9,-2.9,68,1.6,1487,-7.9,0.3,0.0,0.0,Winter,No Holiday,Yes,328
34,02/12/2017,10,-0.4,57,1.6,1309,-7.8,0.8,0.0,0.0,Winter,No Holiday,Yes,334
35,02/12/2017,11,1.9,49,1.8,1406,-7.7,1.0,0.0,0.0,Winter,No Holiday,Yes,388
36,02/12/2017,12,4.3,41,1.3,1666,-7.8,1.09,0.0,0.0,Winter,No Holiday,Yes,479
37,02/12/2017,13,6.0,36,1.8,1780,-7.9,1.12,0.0,0.0,Winter,No Holiday,Yes,606
38,02/12/2017,14,7.3,35,1.3,1955,-7.1,0.99,0.0,0.0,Winter,No Holiday,Yes,611
39,02/12/2017,15,7.6,41,2.3,1953,-4.8,0.74,0.0,0.0,Winter,No Holiday,Yes,589
40,02/12/2017,16,6.4,48,2.6,1945,-3.8,0.22,0.0,0.0,Winter,No Holiday,Yes,618
41,02/12/2017,17,6.0,51,2.5,1891,-3.3,0.06,0.0,0.0,Winter,No Holiday,Yes,572
42,02/12/2017,18,5.5,53,1.5,1697,-3.3,0.0,0.0,0.0,Winter,No Holiday,Yes,489
43,02/12/2017,19,5.0,52,2.3,1666,-4.0,0.0,0.0,0.0,Winter,No Holiday,Yes,385
44,02/12/2017,20,4.6,51,1.2,1585,-4.6,0.0,0.0,0.0,Winter,No Holiday,Yes,359
45,02/12/2017,21,4.1,55,1.2,1448,-4.1,0.0,0.0,0.0,Winter,No Holiday,Yes,377
46,02/12/2017,22,3.5,54,1.5,1446,-4.9,0.0,0.0,0.0,Winter,No Holiday,Yes,354
47,02/12/2017,23,4.0,56,1.0,1352,-4.0,0.0,0.0,0.0,Winter,No Holiday,Yes,366
48,03/12/2017,0,4.0,58,1.4,1296,-3.5,0.0,0.0,0.0,Winter,No Holiday,Yes,342
49,03/12/2017,1,3.9,69,1.7,485,-1.2,0.0,0.0,0.0,Winter,No Holiday,Yes,227
50,03/12/2017,2,3.3,79,1.4,830,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,228
51,03/12/2017,3,3.4,71,1.6,1011,-1.3,0.0,0.5,0.0,Winter,No Holiday,Yes,117
52,03/12/2017,4,3.5,73,1.0,1060,-0.8,0.0,0.0,0.0,Winter,No Holiday,Yes,76
53,03/12/2017,5,3.9,75,1.9,914,-0.1,0.0,0.0,0.0,Winter,No Holiday,Yes,32
54,03/12/2017,6,3.4,86,2.5,278,1.2,0.0,1.0,0.0,Winter,No Holiday,Yes,13
55,03/12/2017,7,3.1,91,1.2,129,1.7,0.0,0.0,0.0,Winter,No Holiday,Yes,22
56,03/12/2017,8,3.2,92,1.8,244,2.0,0.0,0.0,0.0,Winter,No Holiday,Yes,85
57,03/12/2017,9,3.5,91,1.8,231,2.1,0.02,2.5,0.0,Winter,No Holiday,Yes,152
58,03/12/2017,10,4.4,89,2.2,257,2.7,0.24,0.0,0.0,Winter,No Holiday,Yes,200
59,03/12/2017,11,5.1,87,1.4,321,3.1,0.25,0.0,0.0,Winter,No Holiday,Yes,273
60,03/12/2017,12,5.8,85,1.7,349,3.4,0.43,0.0,0.0,Winter,No Holiday,Yes,333
61,03/12/2017,13,6.8,81,1.9,390,3.7,0.6,0.0,0.0,Winter,No Holiday,Yes,495
62,03/12/2017,14,7.6,76,1.2,422,3.6,0.69,0.0,0.0,Winter,No Holiday,Yes,563
63,03/12/2017,15,8.0,73,1.6,433,3.4,0.53,0.0,0.0,Winter,No Holiday,Yes,621
64,03/12/2017,16,7.6,77,1.6,399,3.8,0.2,0.0,0.0,Winter,No Holiday,Yes,598
65,03/12/2017,17,6.7,82,1.5,358,3.8,0.05,0.0,0.0,Winter,No Holiday,Yes,545
66,03/12/2017,18,6.0,84,1.9,327,3.4,0.0,0.0,0.0,Winter,No Holiday,Yes,443
67,03/12/2017,19,5.7,85,1.7,309,3.3,0.0,0.0,0.0,Winter,No Holiday,Yes,422
68,03/12/2017,20,5.2,87,1.4,253,3.2,0.0,0.0,0.0,Winter,No Holiday,Yes,397
69,03/12/2017,21,4.7,87,1.2,247,2.7,0.0,0.0,0.0,Winter,No Holiday,Yes,385
70,03/12/2017,22,4.3,89,1.8,201,2.6,0.0,0.0,0.0,Winter,No Holiday,Yes,350
71,03/12/2017,23,3.9,90,1.3,194,2.4,0.0,0.0,0.0,Winter,No Holiday,Yes,303
72,04/12/2017,0,4.2,88,0.6,216,2.3,0.0,0.0,0.0,Winter,No Holiday,Yes,285
73,04/12/2017,1,4.3,87,0.5,221,2.3,0.0,0.0,0.0,Winter,No Holiday,Yes,186
74,04/12/2017,2,4.4,87,1.8,207,2.4,0.0,0.0,0.0,Winter,No Holiday,Yes,112
75,04/12/2017,3,3.6,85,2.3,206,1.3,0.0,0.0,0.0,Winter,No Holiday,Yes,65
76,04/12/2017,4,2.8,89,1.5,130,1.1,0.0,0.0,0.0,Winter,No Holiday,Yes,41
77,04/12/2017,5,2.0,83,2.7,253,-0.5,0.0,0.0,0.0,Winter,No Holiday,Yes,82
78,04/12/2017,6,1.2,76,3.7,371,-2.5,0.0,0.1,0.0,Winter,No Holiday,Yes,200
79,04/12/2017,7,0.2,68,3.4,702,-5.0,0.0,0.0,0.0,Winter,No Holiday,Yes,498
80,04/12/2017,8,-0.8,69,3.5,954,-5.7,0.01,0.0,0.0,Winter,No Holiday,Yes,937
81,04/12/2017,9,-1.5,47,4.2,1888,-11.3,0.22,0.0,0.0,Winter,No Holiday,Yes,509
82,04/12/2017,10,-1.1,40,4.5,2000,-13.0,0.64,0.0,0.0,Winter,No Holiday,Yes,311
83,04/12/2017,11,-0.5,41,4.1,1799,-12.1,0.94,0.0,0.0,Winter,No Holiday,Yes,379
84,04/12/2017,12,-0.3,38,4.8,1823,-12.9,1.11,0.0,0.0,Winter,No Holiday,Yes,393
85,04/12/2017,13,0.0,30,5.4,1938,-15.5,1.17,0.0,0.0,Winter,No Holiday,Yes,391
